province,value,year
第一产业,77.18,1997
第一产业,77.86,1998
第一产业,78.35,1999
第一产业,79.25,2000
第一产业,80.78,2001
第一产业,82.44,2002
第一产业,84.11,2003
第一产业,87.36,2004
第一产业,88.68,2005
第一产业,88.8,2006
第一产业,101.26,2007
第一产业,112.83,2008
第一产业,118.29,2009
第一产业,124.36,2010
第一产业,136.27,2011
第一产业,150.2,2012
第一产业,159.64,2013
第一产业,158.99,2014
第一产业,140.21,2015
第一产业,129.79,2016
第二产业,781.85,1997
第二产业,840.57,1998
第二产业,907.34,1999
第二产业,1033.29,2000
第二产业,1142.35,2001
第二产业,1249.99,2002
第二产业,1487.15,2003
第二产业,1853.58,2004
第二产业,2026.51,2005
第二产业,2191.43,2006
第二产业,2509.4,2007
第二产业,2626.41,2008
第二产业,2855.55,2009
第二产业,3388.38,2010
第二产业,3752.48,2011
第二产业,4059.27,2012
第二产业,4292.56,2013
第二产业,4544.8,2014
第二产业,4542.64,2015
第二产业,4944.44,2016
第三产业,1218.06,1997
第三产业,1458.75,1998
第三产业,1693.13,1999
第三产业,2049.12,2000
第三产业,2484.83,2001
第三产业,2982.57,2002
第三产业,3435.95,2003
第三产业,4092.27,2004
第三产业,4854.33,2005
第三产业,5837.55,2006
第三产业,7236.15,2007
第三产业,8375.76,2008
第三产业,9179.19,2009
第三产业,10600.84,2010
第三产业,12363.18,2011
第三产业,13669.93,2012
第三产业,15348.61,2013
第三产业,16627.04,2014
第三产业,18331.74,2015
第三产业,20594.9,2016
