province,value,year
第一产业,978.32,1997
第一产业,994.55,1998
第一产业,1009.01,1999
第一产业,986.32,2000
第一产业,988.84,2001
第一产业,1015.08,2002
第一产业,1072.91,2003
第一产业,1248.59,2004
第一产业,1428.27,2005
第一产业,1532.17,2006
第一产业,1695.57,2007
第一产业,1973.05,2008
第一产业,2010.27,2009
第一产业,2286.98,2010
第一产业,2665.2,2011
第一产业,2847.26,2012
第一产业,2977.13,2013
第一产业,3166.82,2014
第一产业,3345.54,2015
第一产业,3694.37,2016
第二产业,3704.39,1997
第二产业,4067.12,1998
第二产业,4359,1999
第二产业,4999.51,2000
第二产业,5506.06,2001
第二产业,6143.4,2002
第二产业,7592.78,2003
第二产业,9280.73,2004
第二产业,11356.6,2005
第二产业,13469.77,2006
第二产业,16004.61,2007
第二产业,18502.2,2008
第二产业,19419.7,2009
第二产业,23014.53,2010
第二产业,26447.38,2011
第二产业,27700.97,2012
第二产业,28994.22,2013
第二产业,31419.75,2014
第二产业,32613.54,2015
第二产业,35109.66,2016
第三产业,3091.81,1997
第三产业,3469.21,1998
第三产业,3882.66,1999
第三产业,4755.42,2000
第三产业,5544.35,2001
第三产业,6343.94,2002
第三产业,7178.94,2003
第三产业,8335.3,2004
第三产业,9772.5,2005
第三产业,11585.82,2006
第三产业,14076.83,2007
第三产业,16321.46,2008
第三产业,18052.59,2009
第三产业,20711.55,2010
第三产业,24097.7,2011
第三产业,26519.69,2012
第三产业,30503.44,2013
第三产业,33223.28,2014
第三产业,36853.47,2015
第三产业,42050.88,2016
