keyword,frequency,year
北京市,101.26,2013
北京市,2082.76,2012
北京市,426.64,2011
北京市,1098.23,2010
北京市,497.55,2009
北京市,244.96,2008
北京市,1302.77,2007
天津市,110.19,2013
天津市,2661.87,2012
天津市,230.66,2011
天津市,588.5,2010
天津市,334.67,2009
天津市,92.61,2008
天津市,288.17,2007
河北省,1804.72,2013
河北省,6515.32,2012
河北省,686.56,2011
河北省,836.9,2010
河北省,1155.62,2009
河北省,203.83,2008
河北省,347.65,2007
山西省,311.97,2013
山西省,3141.89,2012
山西省,312.6,2011
山西省,384.63,2010
山西省,546.31,2009
山西省,137.3,2008
山西省,218.73,2007
内蒙古自治区,762.1,2013
内蒙古自治区,2781.78,2012
内蒙古自治区,411.89,2011
内蒙古自治区,588.02,2010
内蒙古自治区,545.28,2009
内蒙古自治区,199.69,2008
内蒙古自治区,148.3,2007
辽宁省,1133.42,2013
辽宁省,4892.45,2012
辽宁省,651.69,2011
辽宁省,1078.67,2010
辽宁省,665.63,2009
辽宁省,231.54,2008
辽宁省,386.34,2007
吉林省,783.8,2013
吉林省,2170.74,2012
吉林省,304.71,2011
吉林省,485.96,2010
吉林省,275.76,2009
吉林省,117.35,2008
吉林省,126.03,2007
黑龙江省,915.38,2013
黑龙江省,3326.9,2012
黑龙江省,368.68,2011
黑龙江省,494.19,2010
黑龙江省,412.1,2009
黑龙江省,141.16,2008
黑龙江省,155.48,2007
上海市,101.84,2013
上海市,5154.42,2012
上海市,416.64,2011
上海市,1525.43,2010
上海市,682.84,2009
上海市,219.36,2008
上海市,1209.08,2007
江苏省,1816.31,2013
江苏省,13105.24,2012
江苏省,1366.02,2011
江苏省,2472.64,2010
江苏省,1101.18,2009
江苏省,432.83,2008
江苏省,1054.25,2007
浙江省,986.02,2013
浙江省,9090.74,2012
浙江省,1063.51,2011
浙江省,1650.14,2010
浙江省,748.61,2009
浙江省,321.39,2008
浙江省,1251.43,2007
安徽省,1200.18,2013
安徽省,2810,2012
安徽省,560.96,2011
安徽省,511.66,2010
安徽省,408.33,2009
安徽省,121,2008
安徽省,223.85,2007
福建省,1002.11,2013
福建省,3896.76,2012
福建省,579.66,2011
福建省,769.15,2010
福建省,626.32,2009
福建省,175.1,2008
福建省,385.84,2007
江西省,905.77,2013
江西省,2412.3,2012
江西省,563.23,2011
江西省,381.25,2010
江西省,371.6,2009
江西省,92.45,2008
江西省,101.34,2007
山东省,2509.14,2013
山东省,13283.72,2012
山东省,1363.81,2011
山东省,2119.72,2010
山东省,1334.62,2009
山东省,467.78,2008
山东省,734.9,2007
河南省,2217.66,2013
河南省,7508.33,2012
河南省,774.5,2011
河南省,765.76,2010
河南省,866.73,2009
河南省,493.4,2008
河南省,302.31,2007
湖北省,1378,2013
湖北省,3588,2012
湖北省,555.06,2011
湖北省,705.56,2010
湖北省,485.87,2009
湖北省,228.07,2008
湖北省,337.27,2007
湖南省,1626.48,2013
湖南省,3397.69,2012
湖南省,580.03,2011
湖南省,771.73,2010
湖南省,517.67,2009
湖南省,224.81,2008
湖南省,260.14,2007
广东省,1695.57,2013
广东省,14942.91,2012
广东省,1061.7,2011
广东省,2912.3,2010
广东省,1418.57,2009
广东省,717.6,2008
广东省,1705.08,2007
广西壮族自治区,1241.35,2013
广西壮族自治区,2090.1,2012
广西壮族自治区,335.19,2011
广西壮族自治区,415.16,2010
广西壮族自治区,266.9,2009
广西壮族自治区,168.21,2008
广西壮族自治区,190.73,2007
海南省,361.07,2013
海南省,278.37,2012
海南省,85.89,2011
海南省,119.53,2010
海南省,76.83,2009
海南省,43.63,2008
海南省,34.43,2007
重庆市,482.39,2013
重庆市,2004.51,2012
重庆市,364.02,2011
重庆市,366.19,2010
重庆市,265.74,2009
重庆市,91.85,2008
重庆市,247.46,2007
四川省,2032,2013
四川省,3921.41,2012
四川省,727.38,2011
四川省,624.74,2010
四川省,511.49,2009
四川省,299.75,2008
四川省,359.11,2007
贵州省,446.38,2013
贵州省,978.86,2012
贵州省,145.93,2011
贵州省,198.79,2010
贵州省,282.04,2009
贵州省,90.09,2008
贵州省,122.25,2007
云南省,837.35,2013
云南省,1696.29,2012
云南省,342.1,2011
云南省,342.93,2010
云南省,195.22,2009
云南省,123.17,2008
云南省,168.55,2007
西藏自治区,54.89,2013
西藏自治区,27.62,2012
西藏自治区,70.86,2011
西藏自治区,21.41,2010
西藏自治区,16.8,2009
西藏自治区,12.89,2008
西藏自治区,11.51,2007
陕西省,592.63,2013
陕西省,2544.42,2012
陕西省,442.04,2011
陕西省,449.39,2010
陕西省,326.99,2009
陕西省,132.66,2008
陕西省,231.03,2007
甘肃省,387.55,2013
甘肃省,1063.84,2012
甘肃省,215.48,2011
甘肃省,166.85,2010
甘肃省,181.24,2009
甘肃省,68.21,2008
甘肃省,61.6,2007
青海省,83.41,2013
青海省,344.52,2012
青海省,74.51,2011
青海省,45.67,2010
青海省,40.59,2009
青海省,12.33,2008
青海省,27.67,2007
宁夏回族自治区,97.89,2013
宁夏回族自治区,376.71,2012
宁夏回族自治区,78.33,2011
宁夏回族自治区,54.64,2010
宁夏回族自治区,67.53,2009
宁夏回族自治区,17.12,2008
宁夏回族自治区,51.05,2007
新疆维吾尔自治区,628.72,2013
新疆维吾尔自治区,1405.11,2012
新疆维吾尔自治区,242.44,2011
新疆维吾尔自治区,187.1,2010
新疆维吾尔自治区,177.28,2009
新疆维吾尔自治区,57.69,2008
新疆维吾尔自治区,149.22,2007
