keyword,frequency,year
First,0.263157895,2016
First,0.421052632,2015
First,0.473684211,2014
First,0.394736842,2013
First,0.578947368,2012
First,0.5,2011
First,0.526315789,2010
First,0.447368421,2009
First,0.763157895,2008
First,0.315789474,2007
First,0.657894737,2006
First,0.736842105,2005
First,1,2004
First,0.026315789,2003
First,0.105263158,2002
First,0.078947368,2001
First,0,2000
First,0.105263158,1999
First,0.289473684,1998
First,0.289473684,1997
Second,0.011235955,2016
Second,0,2015
Second,0.134831461,2014
Second,0.202247191,2013
Second,0.247191011,2012
Second,0.505617978,2011
Second,0.730337079,2010
Second,0.460674157,2009
Second,0.404494382,2008
Second,1,2007
Second,0.820224719,2006
Second,0.662921348,2005
Second,0.550561798,2004
Second,0.730337079,2003
Second,0.415730337,2002
Second,0.258426966,2001
Second,0.370786517,2000
Second,0.224719101,1999
Second,0.303370787,1998
Second,0.483146067,1997
Third,0,2016
Third,0.05952381,2015
Third,0.011904762,2014
Third,0.071428571,2013
Third,0.035714286,2012
Third,0.214285714,2011
Third,0.238095238,2010
Third,0.226190476,2009
Third,0.333333333,2008
Third,1,2007
Third,0.761904762,2006
Third,0.55952381,2005
Third,0.285714286,2004
Third,0.214285714,2003
Third,0.333333333,2002
Third,0.30952381,2001
Third,0.25,2000
Third,0.178571429,1999
Third,0.083333333,1998
Third,0.321428571,1997
