keyword,frequency,year
北京市,129.79,2016
北京市,140.21,2015
北京市,158.99,2014
北京市,159.64,2013
北京市,150.2,2012
北京市,136.27,2011
北京市,124.36,2010
北京市,118.29,2009
北京市,112.83,2008
北京市,101.26,2007
天津市,220.22,2016
天津市,208.82,2015
天津市,199.9,2014
天津市,186.96,2013
天津市,171.6,2012
天津市,159.72,2011
天津市,145.58,2010
天津市,128.85,2009
天津市,122.58,2008
天津市,110.19,2007
河北省,3492.81,2016
河北省,3439.45,2015
河北省,3447.46,2014
河北省,3381.98,2013
河北省,3186.66,2012
河北省,2905.73,2011
河北省,2562.81,2010
河北省,2207.34,2009
河北省,2034.59,2008
河北省,1804.72,2007
山西省,784.78,2016
山西省,783.16,2015
山西省,788.89,2014
山西省,741.01,2013
山西省,698.32,2012
山西省,641.42,2011
山西省,554.48,2010
山西省,477.59,2009
山西省,313.58,2008
山西省,311.97,2007
内蒙古自治区,1637.39,2016
内蒙古自治区,1617.42,2015
内蒙古自治区,1627.85,2014
内蒙古自治区,1575.76,2013
内蒙古自治区,1448.58,2012
内蒙古自治区,1306.3,2011
内蒙古自治区,1095.28,2010
内蒙古自治区,929.6,2009
内蒙古自治区,907.95,2008
内蒙古自治区,762.1,2007
辽宁省,2173.06,2016
辽宁省,2384.03,2015
辽宁省,2285.75,2014
辽宁省,2216.15,2013
辽宁省,2155.82,2012
辽宁省,1915.57,2011
辽宁省,1631.08,2010
辽宁省,1414.9,2009
辽宁省,1302.02,2008
辽宁省,1133.42,2007
吉林省,1498.52,2016
吉林省,1596.28,2015
吉林省,1524.01,2014
吉林省,1466.74,2013
吉林省,1412.11,2012
吉林省,1277.44,2011
吉林省,1050.15,2010
吉林省,980.57,2009
吉林省,916.72,2008
吉林省,783.8,2007
黑龙江省,2670.46,2016
黑龙江省,2633.5,2015
黑龙江省,2611.36,2014
黑龙江省,2474.12,2013
黑龙江省,2113.66,2012
黑龙江省,1701.5,2011
黑龙江省,1302.9,2010
黑龙江省,1154.33,2009
黑龙江省,1088.94,2008
黑龙江省,915.38,2007
上海市,109.47,2016
上海市,109.82,2015
上海市,124.26,2014
上海市,124.89,2013
上海市,127.8,2012
上海市,124.94,2011
上海市,114.15,2010
上海市,113.82,2009
上海市,111.8,2008
上海市,101.84,2007
江苏省,4077.18,2016
江苏省,3986.05,2015
江苏省,3634.33,2014
江苏省,3469.86,2013
江苏省,3418.29,2012
江苏省,3064.78,2011
江苏省,2540.1,2010
江苏省,2261.86,2009
江苏省,2100.11,2008
江苏省,1816.31,2007
浙江省,1965.18,2016
浙江省,1832.91,2015
浙江省,1777.18,2014
浙江省,1760.34,2013
浙江省,1667.88,2012
浙江省,1583.04,2011
浙江省,1360.56,2010
浙江省,1163.08,2009
浙江省,1095.96,2008
浙江省,986.02,2007
安徽省,2567.72,2016
安徽省,2456.69,2015
安徽省,2392.39,2014
安徽省,2267.15,2013
安徽省,2178.73,2012
安徽省,2015.31,2011
安徽省,1729.02,2010
安徽省,1495.45,2009
安徽省,1418.09,2008
安徽省,1200.18,2007
福建省,2363.22,2016
福建省,2118.1,2015
福建省,2014.8,2014
福建省,1874.23,2013
福建省,1776.71,2012
福建省,1612.24,2011
福建省,1363.67,2010
福建省,1182.74,2009
福建省,1158.17,2008
福建省,1002.11,2007
江西省,1904.53,2016
江西省,1772.98,2015
江西省,1683.72,2014
江西省,1588.51,2013
江西省,1520.23,2012
江西省,1391.07,2011
江西省,1206.98,2010
江西省,1098.66,2009
江西省,1060.38,2008
江西省,905.77,2007
山东省,4929.13,2016
山东省,4979.08,2015
山东省,4798.36,2014
山东省,4565.97,2013
山东省,4281.7,2012
山东省,3973.85,2011
山东省,3588.28,2010
山东省,3226.64,2009
山东省,3002.65,2008
山东省,2509.14,2007
河南省,4286.21,2016
河南省,4209.56,2015
河南省,4160.01,2014
河南省,3972.7,2013
河南省,3769.54,2012
河南省,3512.24,2011
河南省,3258.09,2010
河南省,2769.05,2009
河南省,2658.78,2008
河南省,2217.66,2007
湖北省,3659.33,2016
湖北省,3309.84,2015
湖北省,3176.89,2014
湖北省,3030.27,2013
湖北省,2848.77,2012
湖北省,2569.3,2011
湖北省,2147,2010
湖北省,1795.9,2009
湖北省,1780,2008
湖北省,1378,2007
湖南省,3578.37,2016
湖南省,3331.62,2015
湖南省,3148.75,2014
湖南省,2990.31,2013
湖南省,3004.21,2012
湖南省,2768.03,2011
湖南省,2325.5,2010
湖南省,1969.69,2009
湖南省,1892.4,2008
湖南省,1626.48,2007
广东省,3694.37,2016
广东省,3345.54,2015
广东省,3166.82,2014
广东省,2977.13,2013
广东省,2847.26,2012
广东省,2665.2,2011
广东省,2286.98,2010
广东省,2010.27,2009
广东省,1973.05,2008
广东省,1695.57,2007
广西壮族自治区,2796.8,2016
广西壮族自治区,2565.45,2015
广西壮族自治区,2413.44,2014
广西壮族自治区,2290.64,2013
广西壮族自治区,2172.37,2012
广西壮族自治区,2047.23,2011
广西壮族自治区,1675.06,2010
广西壮族自治区,1458.49,2009
广西壮族自治区,1453.75,2008
广西壮族自治区,1241.35,2007
海南省,948.35,2016
海南省,854.72,2015
海南省,809.52,2014
海南省,736.03,2013
海南省,711.54,2012
海南省,659.23,2011
海南省,539.83,2010
海南省,462.19,2009
海南省,436.04,2008
海南省,361.07,2007
重庆市,1303.24,2016
重庆市,1150.15,2015
重庆市,1061.03,2014
重庆市,1002.68,2013
重庆市,940.01,2012
重庆市,844.52,2011
重庆市,685.38,2010
重庆市,606.8,2009
重庆市,575.4,2008
重庆市,482.39,2007
四川省,3929.33,2016
四川省,3677.3,2015
四川省,3531.05,2014
四川省,3368.66,2013
四川省,3297.21,2012
四川省,2983.51,2011
四川省,2482.89,2010
四川省,2240.61,2009
四川省,2216.15,2008
四川省,2032,2007
贵州省,1846.19,2016
贵州省,1640.61,2015
贵州省,1280.45,2014
贵州省,998.47,2013
贵州省,891.91,2012
贵州省,726.22,2011
贵州省,625.03,2010
贵州省,550.27,2009
贵州省,539.19,2008
贵州省,446.38,2007
云南省,2195.11,2016
云南省,2055.78,2015
云南省,1990.07,2014
云南省,1860.8,2013
云南省,1654.55,2012
云南省,1411.01,2011
云南省,1108.38,2010
云南省,1067.6,2009
云南省,1020.56,2008
云南省,837.35,2007
西藏自治区,115.78,2016
西藏自治区,98.04,2015
西藏自治区,91.64,2014
西藏自治区,84.68,2013
西藏自治区,80.38,2012
西藏自治区,74.47,2011
西藏自治区,68.72,2010
西藏自治区,63.88,2009
西藏自治区,60.62,2008
西藏自治区,54.89,2007
陕西省,1693.85,2016
陕西省,1597.63,2015
陕西省,1564.94,2014
陕西省,1460.97,2013
陕西省,1370.16,2012
陕西省,1220.9,2011
陕西省,988.45,2010
陕西省,789.64,2009
陕西省,753.72,2008
陕西省,592.63,2007
甘肃省,983.39,2016
甘肃省,954.09,2015
甘肃省,900.76,2014
甘肃省,844.69,2013
甘肃省,780.5,2012
甘肃省,678.75,2011
甘肃省,599.28,2010
甘肃省,497.05,2009
甘肃省,462.27,2008
甘肃省,387.55,2007
青海省,221.19,2016
青海省,208.93,2015
青海省,215.93,2014
青海省,204.72,2013
青海省,176.91,2012
青海省,155.08,2011
青海省,134.92,2010
青海省,107.4,2009
青海省,105.57,2008
青海省,83.41,2007
宁夏回族自治区,241.6,2016
宁夏回族自治区,237.76,2015
宁夏回族自治区,216.99,2014
宁夏回族自治区,210.81,2013
宁夏回族自治区,199.4,2012
宁夏回族自治区,184.14,2011
宁夏回族自治区,159.29,2010
宁夏回族自治区,127.25,2009
宁夏回族自治区,118.94,2008
宁夏回族自治区,97.89,2007
新疆维吾尔自治区,1648.97,2016
新疆维吾尔自治区,1559.08,2015
新疆维吾尔自治区,1538.6,2014
新疆维吾尔自治区,1434.83,2013
新疆维吾尔自治区,1320.57,2012
新疆维吾尔自治区,1139.03,2011
新疆维吾尔自治区,1078.63,2010
新疆维吾尔自治区,759.74,2009
新疆维吾尔自治区,691.07,2008
新疆维吾尔自治区,628.72,2007
