keyword,frequency,year
北京市,4944.44,2016
北京市,4542.64,2015
北京市,4544.8,2014
北京市,4292.56,2013
北京市,4059.27,2012
北京市,3752.48,2011
北京市,3388.38,2010
北京市,2855.55,2009
北京市,2626.41,2008
北京市,2509.4,2007
天津市,7571.35,2016
天津市,7704.22,2015
天津市,7731.85,2014
天津市,7275.45,2013
天津市,6663.82,2012
天津市,5928.32,2011
天津市,4840.23,2010
天津市,3987.84,2009
天津市,3709.78,2008
天津市,2892.53,2007
河北省,15256.93,2016
河北省,14386.87,2015
河北省,15012.85,2014
河北省,14781.85,2013
河北省,14003.57,2012
河北省,13126.86,2011
河北省,10707.68,2010
河北省,8959.83,2009
河北省,8701.34,2008
河北省,7201.88,2007
山西省,5028.99,2016
山西省,5194.27,2015
山西省,6293.91,2014
山西省,6613.06,2013
山西省,6731.56,2012
山西省,6635.26,2011
山西省,5234,2010
山西省,3993.8,2009
山西省,4242.36,2008
山西省,3454.49,2007
内蒙古自治区,8553.63,2016
内蒙古自治区,9000.58,2015
内蒙古自治区,9119.79,2014
内蒙古自治区,9104.08,2013
内蒙古自治区,8801.5,2012
内蒙古自治区,8037.69,2011
内蒙古自治区,6367.69,2010
内蒙古自治区,5114,2009
内蒙古自治区,4376.19,2008
内蒙古自治区,3193.67,2007
辽宁省,8606.54,2016
辽宁省,13041.97,2015
辽宁省,14384.64,2014
辽宁省,13963.95,2013
辽宁省,13230.49,2012
辽宁省,12152.15,2011
辽宁省,9976.82,2010
辽宁省,7906.34,2009
辽宁省,7158.84,2008
辽宁省,5544.14,2007
吉林省,7004.95,2016
吉林省,7005.71,2015
吉林省,7286.59,2014
吉林省,6871.96,2013
吉林省,6376.77,2012
吉林省,5611.48,2011
吉林省,4506.31,2010
吉林省,3541.92,2009
吉林省,3097.12,2008
吉林省,2475.45,2007
黑龙江省,4400.69,2016
黑龙江省,4798.08,2015
黑龙江省,5544.41,2014
黑龙江省,5846.67,2013
黑龙江省,6037.61,2012
黑龙江省,5962.41,2011
黑龙江省,5025.15,2010
黑龙江省,4060.72,2009
黑龙江省,4319.75,2008
黑龙江省,3695.58,2007
上海市,8406.28,2016
上海市,7991,2015
上海市,8167.71,2014
上海市,7907.81,2013
上海市,7854.77,2012
上海市,7927.89,2011
上海市,7218.32,2010
上海市,6001.78,2009
上海市,6085.84,2008
上海市,5571.06,2007
江苏省,34619.5,2016
江苏省,32044.45,2015
江苏省,30854.5,2014
江苏省,29086.08,2013
江苏省,27121.95,2012
江苏省,25203.28,2011
江苏省,21753.93,2010
江苏省,18566.37,2009
江苏省,16993.34,2008
江苏省,14471.26,2007
浙江省,21194.61,2016
浙江省,19711.67,2015
浙江省,19175.06,2014
浙江省,18047.52,2013
浙江省,17316.32,2012
浙江省,16555.58,2011
浙江省,14297.93,2010
浙江省,11908.49,2009
浙江省,11567.42,2008
浙江省,10154.25,2007
安徽省,11821.58,2016
安徽省,10946.83,2015
安徽省,11077.67,2014
安徽省,10390.04,2013
安徽省,9404.84,2012
安徽省,8309.38,2011
安徽省,6436.62,2010
安徽省,4905.22,2009
安徽省,4198.93,2008
安徽省,3370.96,2007
福建省,14093.47,2016
福建省,13064.82,2015
福建省,12515.36,2014
福建省,11329.6,2013
福建省,10187.94,2012
福建省,9069.2,2011
福建省,7522.83,2010
福建省,6005.3,2009
福建省,5318.44,2008
福建省,4476.42,2007
江西省,8829.54,2016
江西省,8411.57,2015
江西省,8247.93,2014
江西省,7713.02,2013
江西省,6942.59,2012
江西省,6390.55,2011
江西省,5122.88,2010
江西省,3919.45,2009
江西省,3554.81,2008
江西省,2975.53,2007
山东省,31343.67,2016
山东省,29485.9,2015
山东省,28788.11,2014
山东省,27442.85,2013
山东省,25735.73,2012
山东省,24017.11,2011
山东省,21238.49,2010
山东省,18901.83,2009
山东省,17571.98,2008
山东省,14647.53,2007
河南省,19275.82,2016
河南省,17917.37,2015
河南省,17816.56,2014
河南省,16742.9,2013
河南省,16672.2,2012
河南省,15427.08,2011
河南省,13226.38,2010
河南省,11010.5,2009
河南省,10259.99,2008
河南省,8282.83,2007
湖北省,14654.38,2016
湖北省,13503.56,2015
湖北省,12852.4,2014
湖北省,11786.64,2013
湖北省,11193.1,2012
湖北省,9815.94,2011
湖北省,7767.24,2010
湖北省,6038.08,2009
湖北省,5082.07,2008
湖北省,4143.06,2007
湖南省,13341.17,2016
湖南省,12810.82,2015
湖南省,12482.06,2014
湖南省,11553.97,2013
湖南省,10506.42,2012
湖南省,9361.99,2011
湖南省,7343.19,2010
湖南省,5687.19,2009
湖南省,5028.93,2008
湖南省,3977.72,2007
广东省,35109.66,2016
广东省,32613.54,2015
广东省,31419.75,2014
广东省,28994.22,2013
广东省,27700.97,2012
广东省,26447.38,2011
广东省,23014.53,2010
广东省,19419.7,2009
广东省,18502.2,2008
广东省,16004.61,2007
广西壮族自治区,8273.66,2016
广西壮族自治区,7717.52,2015
广西壮族自治区,7324.96,2014
广西壮族自治区,6731.32,2013
广西壮族自治区,6247.43,2012
广西壮族自治区,5675.32,2011
广西壮族自治区,4511.68,2010
广西壮族自治区,3381.54,2009
广西壮族自治区,3037.74,2008
广西壮族自治区,2425.29,2007
海南省,905.95,2016
海南省,875.82,2015
海南省,875.97,2014
海南省,797.39,2013
海南省,804.47,2012
海南省,714.5,2011
海南省,571,2010
海南省,443.43,2009
海南省,423.55,2008
海南省,364.26,2007
重庆市,7898.92,2016
重庆市,7069.37,2015
重庆市,6529.06,2014
重庆市,5812.29,2013
重庆市,5975.18,2012
重庆市,5543.04,2011
重庆市,4359.12,2010
重庆市,3448.77,2009
重庆市,3057.78,2008
重庆市,2368.53,2007
四川省,13448.92,2016
四川省,13248.08,2015
四川省,13962.41,2014
四川省,13472.05,2013
