keyword,frequency,year
北京市,20594.9,2016
北京市,18331.74,2015
北京市,16627.04,2014
北京市,15348.61,2013
北京市,13669.93,2012
北京市,12363.18,2011
北京市,10600.84,2010
北京市,9179.19,2009
北京市,8375.76,2008
北京市,7236.15,2007
天津市,10093.82,2016
天津市,8625.15,2015
天津市,7795.18,2014
天津市,6979.6,2013
天津市,6058.46,2012
天津市,5219.24,2011
天津市,4238.65,2010
天津市,3405.16,2009
天津市,2886.65,2008
天津市,2250.04,2007
河北省,13320.71,2016
河北省,11979.79,2015
河北省,10960.84,2014
河北省,10279.12,2013
河北省,9384.78,2012
河北省,8483.17,2011
河北省,7123.77,2010
河北省,6068.31,2009
河北省,5276.04,2008
河北省,4600.72,2007
山西省,7236.64,2016
山西省,6789.06,2015
山西省,5678.69,2014
山西省,5311.18,2013
山西省,4682.95,2012
山西省,3960.87,2011
山西省,3412.38,2010
山西省,2886.92,2009
山西省,2759.46,2008
山西省,2257.99,2007
内蒙古自治区,7937.08,2016
内蒙古自治区,7213.51,2015
内蒙古自治区,7022.55,2014
内蒙古自治区,6236.66,2013
内蒙古自治区,5630.5,2012
内蒙古自治区,5015.89,2011
内蒙古自治区,4209.03,2010
内蒙古自治区,3696.65,2009
内蒙古自治区,3212.06,2008
内蒙古自治区,2467.41,2007
辽宁省,11467.3,2016
辽宁省,13243.02,2015
辽宁省,11956.19,2014
辽宁省,11033.12,2013
辽宁省,9460.12,2012
辽宁省,8158.98,2011
辽宁省,6849.37,2010
辽宁省,5891.25,2009
辽宁省,5207.72,2008
辽宁省,4486.74,2007
吉林省,6273.33,2016
吉林省,5461.14,2015
吉林省,4992.54,2014
吉林省,4707.7,2013
吉林省,4150.36,2012
吉林省,3679.91,2011
吉林省,3111.12,2010
吉林省,2756.26,2009
吉林省,2412.26,2008
吉林省,2025.44,2007
黑龙江省,8314.94,2016
黑龙江省,7652.09,2015
黑龙江省,6883.61,2014
黑龙江省,6134.12,2013
黑龙江省,5540.31,2012
黑龙江省,4918.09,2011
黑龙江省,4040.55,2010
黑龙江省,3371.95,2009
黑龙江省,2905.68,2008
黑龙江省,2493.04,2007
上海市,19662.9,2016
上海市,17022.63,2015
上海市,15275.72,2014
上海市,13785.45,2013
上海市,12199.15,2012
上海市,11142.86,2011
上海市,9833.51,2010
上海市,8930.85,2009
上海市,7872.23,2008
上海市,6821.11,2007
江苏省,38691.6,2016
江苏省,34085.88,2015
江苏省,30599.49,2014
